geography,metric,sector
Albania,nonres_a0_lin,Commercial
Albania,nonres_a0_lin,Industrial
Albania,nonres_a1_lin,Commercial
Albania,nonres_a1_lin,Industrial
Albania,nonres_t0_lin,Commercial
Albania,nonres_t0_lin,Industrial
Albania,res_a0_lin,Residential
Albania,res_a1_lin,Residential
Albania,res_t0_lin,Residential
Algeria,nonres_a0_lin,Commercial
Algeria,nonres_a0_lin,Industrial
Algeria,nonres_a0_lin,Transportation
Algeria,nonres_a1_lin,Commercial
Algeria,nonres_a1_lin,Industrial
Algeria,nonres_a1_lin,Transportation
Algeria,nonres_t0_lin,Commercial
Algeria,nonres_t0_lin,Industrial
Algeria,nonres_t0_lin,Transportation
Algeria,res_a0_lin,Residential
Algeria,res_a1_lin,Residential
Algeria,res_t0_lin,Residential
Angola,nonres_a0_exp,Commercial
Angola,nonres_a0_exp,Transportation
Angola,nonres_a0_lin,Commercial
Angola,nonres_a0_lin,Industrial
Angola,nonres_a0_lin,Transportation
Angola,nonres_a1_exp,Commercial
Angola,nonres_a1_exp,Transportation
Angola,nonres_a1_lin,Commercial
Angola,nonres_a1_lin,Industrial
Angola,nonres_a1_lin,Transportation
Angola,nonres_t0_exp,Commercial
Angola,nonres_t0_exp,Transportation
Angola,nonres_t0_lin,Commercial
Angola,nonres_t0_lin,Industrial
Angola,nonres_t0_lin,Transportation
Angola,res_a0_lin,Residential
Angola,res_a1_lin,Residential
Angola,res_t0_lin,Residential
Argentina,nonres_a0_lin,Commercial
Argentina,nonres_a0_lin,Industrial
Argentina,nonres_a0_lin,Transportation
Argentina,nonres_a1_lin,Commercial
Argentina,nonres_a1_lin,Industrial
Argentina,nonres_a1_lin,Transportation
Argentina,nonres_t0_lin,Commercial
Argentina,nonres_t0_lin,Industrial
Argentina,nonres_t0_lin,Transportation
Argentina,res_a0_lin,Residential
Argentina,res_a1_lin,Residential
Argentina,res_t0_lin,Residential
Armenia,nonres_a0_lin,Commercial
Armenia,nonres_a0_lin,Industrial
Armenia,nonres_a0_lin,Transportation
Armenia,nonres_a1_lin,Commercial
Armenia,nonres_a1_lin,Industrial
Armenia,nonres_a1_lin,Transportation
Armenia,nonres_t0_lin,Commercial
Armenia,nonres_t0_lin,Industrial
Armenia,nonres_t0_lin,Transportation
Armenia,res_a0_lin,Residential
Armenia,res_a1_lin,Residential
Armenia,res_t0_lin,Residential
Australia,nonres_a0_lin,Commercial
Australia,nonres_a0_lin,Industrial
Australia,nonres_a1_lin,Commercial
Australia,nonres_a1_lin,Industrial
Australia,nonres_t0_lin,Commercial
Australia,nonres_t0_lin,Industrial
Australia,res_a0_lin,Residential
Australia,res_a1_lin,Residential
Australia,res_t0_lin,Residential
Austria,nonres_a0_lin,Commercial
Austria,nonres_a0_lin,Industrial
Austria,nonres_a0_lin,Transportation
Austria,nonres_a1_lin,Commercial
Austria,nonres_a1_lin,Industrial
Austria,nonres_a1_lin,Transportation
Austria,nonres_t0_lin,Commercial
Austria,nonres_t0_lin,Industrial
Austria,nonres_t0_lin,Transportation
Austria,res_a0_lin,Residential
Austria,res_a1_lin,Residential
Austria,res_t0_lin,Residential
Azerbaijan,nonres_a0_lin,Commercial
Azerbaijan,nonres_a0_lin,Industrial
Azerbaijan,nonres_a0_lin,Transportation
Azerbaijan,nonres_a1_lin,Commercial
Azerbaijan,nonres_a1_lin,Industrial
Azerbaijan,nonres_a1_lin,Transportation
Azerbaijan,nonres_t0_lin,Commercial
Azerbaijan,nonres_t0_lin,Industrial
Azerbaijan,nonres_t0_lin,Transportation
Azerbaijan,res_a0_lin,Residential
Azerbaijan,res_a1_lin,Residential
Azerbaijan,res_t0_lin,Residential
Bahrain,nonres_a0_exp,Transportation
Bahrain,nonres_a0_lin,Commercial
Bahrain,nonres_a0_lin,Industrial
Bahrain,nonres_a0_lin,Transportation
Bahrain,nonres_a1_exp,Transportation
Bahrain,nonres_a1_lin,Commercial
Bahrain,nonres_a1_lin,Industrial
Bahrain,nonres_a1_lin,Transportation
Bahrain,nonres_t0_exp,Transportation
Bahrain,nonres_t0_lin,Commercial
Bahrain,nonres_t0_lin,Industrial
Bahrain,nonres_t0_lin,Transportation
Bahrain,res_a0_lin,Residential
Bahrain,res_a1_lin,Residential
Bahrain,res_t0_lin,Residential
Bangladesh,nonres_a0_exp,Transportation
Bangladesh,nonres_a0_lin,Commercial
Bangladesh,nonres_a0_lin,Industrial
Bangladesh,nonres_a1_exp,Transportation
Bangladesh,nonres_a1_lin,Commercial
Bangladesh,nonres_a1_lin,Industrial
Bangladesh,nonres_t0_exp,Transportation
Bangladesh,nonres_t0_lin,Commercial
Bangladesh,nonres_t0_lin,Industrial
Bangladesh,res_a0_exp,Residential
Bangladesh,res_a1_exp,Residential
Bangladesh,res_t0_exp,Residential
Belarus,nonres_a0_lin,Commercial
Belarus,nonres_a0_lin,Industrial
Belarus,nonres_a0_lin,Transportation
Belarus,nonres_a1_lin,Commercial
Belarus,nonres_a1_lin,Industrial
Belarus,nonres_a1_lin,Transportation
Belarus,nonres_t0_lin,Commercial
Belarus,nonres_t0_lin,Industrial
Belarus,nonres_t0_lin,Transportation
Belarus,res_a0_lin,Residential
Belarus,res_a1_lin,Residential
Belarus,res_t0_lin,Residential
Belgium,nonres_a0_lin,Commercial
Belgium,nonres_a0_lin,Industrial
