id,name
Africa,Africa
Australia,Australia
Austria,Austria
Belgium,Belgium
Brazil,Brazil
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Denmark,Denmark
Europe,Europe
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Iceland,Iceland
India,India
Indonesia,Indonesia
Israel,Israel
Italy,Italy
Japan,Japan
Malaysia,Malaysia
Mexico,Mexico
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Poland,Poland
Portugal,Portugal
Russia,Russia
South Africa,South Africa
South Korea,South Korea
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Thailand,Thailand
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Uzbekistan,Uzbekistan
Vietnam,Vietnam
World,World
