id,name
Africa,Africa
Asia Pacific,Asia Pacific
Australia,Australia
Austria,Austria
Belgium,Belgium
Brazil,Brazil
Canada,Canada
Central and South America,Central and South America
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Denmark,Denmark
EU27,EU27
Europe,Europe
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Iceland,Iceland
India,India
Indonesia,Indonesia
Israel,Israel
Italy,Italy
Japan,Japan
Malaysia,Malaysia
Mexico,Mexico
Middle East and Caspian,Middle East and Caspian
Netherlands,Netherlands
New Zealand,New Zealand
North America,North America
Norway,Norway
Poland,Poland
Portugal,Portugal
Rest of World,Rest of World
Russia,Russia
South Africa,South Africa
South Korea,South Korea
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Thailand,Thailand
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Uzbekistan,Uzbekistan
Vietnam,Vietnam
World,World
