id,name,time_zone
Trinidad and Tobago,Trinidad And Tobago,Etc/GMT+4
Tunisia,Tunisia,Etc/GMT-1
Turkey,Turkey,Etc/GMT-3
Turkmenistan,Turkmenistan,Etc/GMT-5
Uganda,Uganda,Etc/GMT-3
Ukraine,Ukraine,Etc/GMT-2
United Arab Emirates,United Arab Emirates,Etc/GMT-4
United Kingdom,United Kingdom,Etc/GMT
United States,United States,Etc/GMT+6
Uruguay,Uruguay,Etc/GMT+3
Uzbekistan,Uzbekistan,Etc/GMT-5
Venezuela,Venezuela,Etc/GMT+4
Vietnam,Vietnam,Etc/GMT-7
Yemen,Yemen,Etc/GMT-3
Zambia,Zambia,Etc/GMT-2
Zimbabwe,Zimbabwe,Etc/GMT-2
