id,name,time_zone
Albania,Albania,Etc/GMT-1
Algeria,Algeria,Etc/GMT-1
Angola,Angola,Etc/GMT-1
Argentina,Argentina,Etc/GMT+3
Armenia,Armenia,Etc/GMT-4
Australia,Australia,Etc/GMT-10
Austria,Austria,Etc/GMT-1
Azerbaijan,Azerbaijan,Etc/GMT-4
Bahrain,Bahrain,Etc/GMT-3
Bangladesh,Bangladesh,Etc/GMT-6
Belarus,Belarus,Etc/GMT-3
Belgium,Belgium,Etc/GMT-1
Benin,Benin,Etc/GMT-1
Bolivia,Bolivia,Etc/GMT+4
Bosnia and Herzegovina,Bosnia And Herzegovina,Etc/GMT-1
Botswana,Botswana,Etc/GMT-2
Brazil,Brazil,Etc/GMT+3
Brunei,Brunei,Etc/GMT-8
Bulgaria,Bulgaria,Etc/GMT-2
Burkina Faso,Burkina Faso,Etc/GMT
Cambodia,Cambodia,Etc/GMT-7
Cameroon,Cameroon,Etc/GMT-1
Canada,Canada,Etc/GMT+6
Chad,Chad,Etc/GMT-1
Chile,Chile,Etc/GMT+3
China,China,Etc/GMT-8
Colombia,Colombia,Etc/GMT+5
Congo,Congo,Etc/GMT-1
Costa Rica,Costa Rica,Etc/GMT+6
Croatia,Croatia,Etc/GMT-1
Cuba,Cuba,Etc/GMT+5
Cyprus,Cyprus,Etc/GMT-2
Czech Republic,Czech Republic,Etc/GMT-1
Denmark,Denmark,Etc/GMT-1
Dominican Republic,Dominican Republic,Etc/GMT+4
Ecuador,Ecuador,Etc/GMT+5
Egypt,Egypt,Etc/GMT-2
El Salvador,El Salvador,Etc/GMT+6
Equatorial Guinea,Equatorial Guinea,Etc/GMT-1
Eritrea,Eritrea,Etc/GMT-3
Estonia,Estonia,Etc/GMT-2
Eswatini,Eswatini,Etc/GMT-2
Ethiopia,Ethiopia,Etc/GMT-3
Finland,Finland,Etc/GMT-2
France,France,Etc/GMT-1
Gabon,Gabon,Etc/GMT-1
Georgia,Georgia,Etc/GMT-4
Germany,Germany,Etc/GMT-1
Ghana,Ghana,Etc/GMT
Greece,Greece,Etc/GMT-2
Guatemala,Guatemala,Etc/GMT+6
Guyana,Guyana,Etc/GMT+4
Haiti,Haiti,Etc/GMT+5
Honduras,Honduras,Etc/GMT+6
Hong Kong,Hong Kong,Etc/GMT-8
Hungary,Hungary,Etc/GMT-1
Iceland,Iceland,Etc/GMT
India,India,Asia/Kolkata
Indonesia,Indonesia,Etc/GMT-8
Iran,Iran,Asia/Tehran
Iraq,Iraq,Etc/GMT-3
Ireland,Ireland,Etc/GMT
Israel,Israel,Etc/GMT-2
Italy,Italy,Etc/GMT-1
Ivory Coast,Ivory Coast,Etc/GMT
Jamaica,Jamaica,Etc/GMT+5
Japan,Japan,Etc/GMT-9
Jordan,Jordan,Etc/GMT-3
Kazakhstan,Kazakhstan,Etc/GMT-5
Kenya,Kenya,Etc/GMT-3
Kuwait,Kuwait,Etc/GMT-3
Kyrgyzstan,Kyrgyzstan,Etc/GMT-6
Laos,Laos,Etc/GMT-7
Latvia,Latvia,Etc/GMT-2
Lebanon,Lebanon,Etc/GMT-2
Libya,Libya,Etc/GMT-2
Lithuania,Lithuania,Etc/GMT-2
Luxembourg,Luxembourg,Etc/GMT-1
Madagascar,Madagascar,Etc/GMT-3
Malaysia,Malaysia,Etc/GMT-8
Mali,Mali,Etc/GMT
Malta,Malta,Etc/GMT-1
Mauritania,Mauritania,Etc/GMT
Mauritius,Mauritius,Etc/GMT-4
Mexico,Mexico,Etc/GMT+6
Moldova,Moldova,Etc/GMT-2
Mongolia,Mongolia,Etc/GMT-8
Montenegro,Montenegro,Etc/GMT-1
Morocco,Morocco,Etc/GMT-1
Mozambique,Mozambique,Etc/GMT-2
Myanmar,Myanmar,Asia/Yangon
Namibia,Namibia,Etc/GMT-2
Nepal,Nepal,Asia/Kathmandu
Netherlands,Netherlands,Etc/GMT-1
New Zealand,New Zealand,Etc/GMT-13
Nicaragua,Nicaragua,Etc/GMT+6
Niger,Niger,Etc/GMT-1
Nigeria,Nigeria,Etc/GMT-1
North Macedonia,North Macedonia,Etc/GMT-1
Norway,Norway,Etc/GMT-1
Oman,Oman,Etc/GMT-4
Pakistan,Pakistan,Etc/GMT-5
Palestine,Palestine,Etc/GMT-2
Panama,Panama,Etc/GMT+5
Paraguay,Paraguay,Etc/GMT+3
Peru,Peru,Etc/GMT+5
Philippines,Philippines,Etc/GMT-8
Poland,Poland,Etc/GMT-1
Portugal,Portugal,Etc/GMT
Qatar,Qatar,Etc/GMT-3
Romania,Romania,Etc/GMT-2
Russia,Russia,Etc/GMT-3
Rwanda,Rwanda,Etc/GMT-2
Saudi Arabia,Saudi Arabia,Etc/GMT-3
Senegal,Senegal,Etc/GMT
Serbia,Serbia,Etc/GMT-1
Singapore,Singapore,Etc/GMT-8
Slovakia,Slovakia,Etc/GMT-1
Slovenia,Slovenia,Etc/GMT-1
South Africa,South Africa,Etc/GMT-2
South Korea,South Korea,Etc/GMT-9
Spain,Spain,Etc/GMT-1
Sri Lanka,Sri Lanka,Asia/Colombo
Sudan,Sudan,Etc/GMT-2
Suriname,Suriname,Etc/GMT+3
Sweden,Sweden,Etc/GMT-1
Switzerland,Switzerland,Etc/GMT-1
Syria,Syria,Etc/GMT-3
Tajikistan,Tajikistan,Etc/GMT-5
Tanzania,Tanzania,Etc/GMT-3
Thailand,Thailand,Etc/GMT-7
Togo,Togo,Etc/GMT
