id,name
Canada,Canada
USA,USA
Mexico,Mexico
Rest Central America,Rest Central America
Brazil,Brazil
Rest South America,Rest South America
Northern Africa,Northern Africa
Western Africa,Western Africa
Eastern Africa,Eastern Africa
Southern Africa,Southern Africa
Western Europe,Western Europe
Central Europe,Central Europe
Turkey,Turkey
Ukraine +,Ukraine +
Asia-Stan,Asia-Stan
Russia +,Russia +
Middle East,Middle East
India +,India +
Korea,Korea
China +,China +
Southeastern Asia,Southeastern Asia
Indonesia +,Indonesia +
Japan,Japan
Oceania,Oceania
Rest S.Asia,Rest S.Asia
Rest S.Africa,Rest S.Africa
